width,depth,one_gates,two_gates,Dp1,Dp2,Dp3,P,O,F,S,ideal_prob
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.01,0.01,0.99,3.0,0.004
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.001,0.001,0.999,5.0,0.001
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.002,0.002,0.998,3.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.007,0.007,0.993,4.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.015,0.015,0.985,2.0,0.016
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.004,0.004,0.996,0.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.005,0.005,0.995,5.0,0.001
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.002,0.002,0.998,3.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.01,0.01,0.99,5.0,0.007
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.007,0.007,0.993,4.0,0.001
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.004,0.004,0.996,3.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.005,0.005,0.995,4.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.008,0.008,0.992,2.0,0.001
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.005,0.005,0.995,4.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.006,0.006,0.994,3.0,0.001
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.006,0.006,0.994,4.0,0.003
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.003,0.003,0.997,3.0,0.003
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.004,0.004,0.996,5.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.004,0.004,0.996,4.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.008,0.008,0.992,6.0,0.002
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.004,0.004,0.996,5.0,0.001
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.037,0.039,0.963,5.0,0.065
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.012,0.012,0.988,4.0,0.017
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.039,0.04,0.961,3.0,0.075
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.002,0.002,0.998,5.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.004,0.004,0.996,2.0,0.001
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.004,0.004,0.996,3.0,0.004
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.009,0.009,0.991,3.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.011,0.011,0.989,5.0,0.006
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.003,0.003,0.997,5.0,0.002
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.006,0.006,0.994,5.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.001,0.001,0.999,4.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.006,0.006,0.994,4.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.011,0.011,0.989,4.0,0.006
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.002,0.002,0.998,4.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.007,0.007,0.993,4.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.002,0.002,0.998,4.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.004,0.004,0.996,4.0,-1.0
14.0,645.0,1514.0,165.0,0.38,0.553,0.715,0.001,0.001,0.999,3.0,-1.0
