width,depth,gate_counts_1q,gate_counts_2q,Dp1,Dp2,Dp3,POS,POF,ODR,target
10,57,66,20,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.021,0.979,0.021,0.021484375
10,57,66,20,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.03,0.97,0.031,0.00390625
10,57,66,20,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.035,0.965,0.036,0.00830078125
10,57,66,20,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.016,0.984,0.016,0.00341796875
10,57,66,20,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.076,0.924,0.082,0.14501953125
10,57,66,20,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.011,0.989,0.011,0.0009765625
10,57,66,20,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.025,0.975,0.025,0.015625
10,57,66,20,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.036,0.964,0.037,0.0673828125
10,57,66,20,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.013,0.987,0.013,0.0029296875
10,57,66,20,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.033,0.967,0.034,0.04931640625
10,57,66,20,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.03,0.97,0.031,-1.0
10,57,66,20,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.021,0.979,0.022,0.00439453125
10,57,66,20,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.027,0.973,0.027,0.01123046875
10,57,66,20,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.014,0.986,0.014,0.0009765625
10,57,66,20,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.039,0.961,0.041,0.0625
10,57,66,20,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.014,0.986,0.015,0.00341796875
10,57,66,20,0.31583228890121495,0.31811198988383393,0.31758703288553397,0.012,0.988,0.012,0.00341796875
3,7,8,1,0.11788365938634582,0.111590917132167,0.11483443645565725,0.965,0.035,27.394,0.50927734375
3,7,8,1,0.11788365938634582,0.111590917132167,0.11483443645565725,0.035,0.965,0.037,-1.0
5,8,13,2,0.17571762812291372,0.17379933108422252,0.17615753250831898,0.911,0.089,10.23,0.49365234375
5,8,13,2,0.17571762812291372,0.17379933108422252,0.17615753250831898,0.038,0.962,0.04,-1.0
